127.0.0.1 - - [17/Apr/2019:13:38:32 -0500] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:38:46 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:38:46 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:38:46 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:38:48 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 7377
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:39:52 -0500] "GET /Jupiter/login.html HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:39:52 -0500] "GET /Jupiter/scripts/login.js HTTP/1.1" 200 9669
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:39:52 -0500] "GET /Jupiter/styles/login.css HTTP/1.1" 200 1710
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:01 -0500] "GET /Jupiter/search?user_id=accepted&password=666666 HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:01 -0500] "GET /Jupiter/login.html?username=accepted&pwd=666666 HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:01 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:01 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:02 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:04 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 7377
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:05 -0500] "GET /Jupiter/recommendation?user_id=accepted HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:06 -0500] "GET /Jupiter/history?user_id=accepted HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:06 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 7377
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:12 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7350
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:40:12 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:47:47 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:47:47 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:47:47 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:47:49 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 7377
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:47:50 -0500] "GET /Jupiter/recommendation?user_id=accepted HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:49:51 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7350
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:49:51 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:56:07 -0500] "GET /Jupiter/ HTTP/1.1" 200 4151
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:56:07 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3553
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:56:08 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:56:48 -0500] "GET /Jupiter/history?user_id=accepted HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:56:49 -0500] "GET /Jupiter/recommendation?user_id=accepted HTTP/1.1" 200 1506
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:56:54 -0500] "GET /Jupiter/history?user_id=accepted HTTP/1.1" 200 747
0:0:0:0:0:0:0:1 - - [17/Apr/2019:13:56:56 -0500] "GET /Jupiter/search?user_id=accepted&term=all HTTP/1.1" 200 7636
0:0:0:0:0:0:0:1 - - [17/Apr/2019:14:15:42 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 200 7441
0:0:0:0:0:0:0:1 - - [17/Apr/2019:14:15:42 -0500] "GET /Jupiter/styles/upload_item.css HTTP/1.1" 200 2622
0:0:0:0:0:0:0:1 - - [17/Apr/2019:14:26:09 -0500] "GET /Jupiter/search?user_id=null&term=all HTTP/1.1" 200 8111
0:0:0:0:0:0:0:1 - - [17/Apr/2019:14:26:12 -0500] "GET /Jupiter/upload_item.html HTTP/1.1" 304 -
